																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			script	ref	ground
BÀN CHỔI SƠN BẰNG BÔNG MỀM RẤT PHỔ BIẾN	VIVOSDEV01_R058	VIVOSDEV01_R180
THẬT SỰ MÀ LÀ BỞI LÒNG HẬN THÙ	VIVOSDEV01_R180	VIVOSDEV01_R187
VIỆC QUY TỘI ĐỂ BÙNG NỔ LOẠI SÁCH NÀY LÀ DO	VIVOSDEV01_R089	VIVOSDEV01_R188
DI TÍCH CÓ BẢY PHỖNG ÔNG VÀ HAI PHỖNG BÀ ĐƯỢC LÀM BẰNG GỖ MÍT	VIVOSDEV01_R086	VIVOSDEV01_R027
CÁC CHÚ CŨNG THOẢI MÁI PHÓNG UẾ GIỮA CHỐN ĐÔNG NGƯỜI MÀ KHÔNG SỢ	VIVOSDEV01_R180	VIVOSDEV01_R028
TIẾNG CỌC CẠCH KHỰNG LẠI CỦA NHỮNG KHỚP SẮT	VIVOSDEV01_R146	VIVOSDEV01_R002
CŨNG LÊN TIẾNG ỦNG HỘ CÁC KIẾN NGHỊ NÀY	VIVOSDEV01_R130	VIVOSDEV01_R003
ANH PHÚ CHƯA BÚ ĐƯỢC SỮA MẸ LẦN NÀO	VIVOSDEV01_R150	VIVOSDEV01_R043
NGỌN LỬA BẠO ĐỘNG Ở TRUNG ĐÔNG VÀ PHÁ VỠ LỘ TRÌNH HÒA BÌNH	VIVOSDEV01_R028	VIVOSDEV01_R044
NHƯNG GIẤC NGỦ CHẬP CHỜN	VIVOSDEV01_R151	VIVOSDEV01_R057
GIÁM ĐỐC SỞ GIÁO DỤC ĐÀO TẠO NINH THUẬN CHO BIẾT	VIVOSDEV01_R098	VIVOSDEV01_R058
ĐÈN BỊ HƯ RỒI BA	VIVOSDEV01_R172	VIVOSDEV01_R069
TRƯỞNG CÔNG AN XÃ CHẠY SANG CAN NGĂN CŨNG BỊ TUYẾN ĐÁNH TIẾP	VIVOSDEV01_R058	VIVOSDEV01_R071
NGHE CHÚNG TÔI HỎI ĐIỀU NÀY CHỊ NGÁT RÂN RẤN NƯỚC MẮT	VIVOSDEV01_R098	VIVOSDEV01_R078
CÔNG VĂN ĐỀ NGHỊ TỈNH CON TUM XÂY DỰNG CỬA KHẨU	VIVOSDEV01_R002	VIVOSDEV01_R086
NHƯNG TÌNH YÊU VẪN NỒNG NÀN VÀ SAY ĐẮM NHƯ BUỔI BAN ĐẦU	VIVOSDEV01_R099	VIVOSDEV01_R089
DO CHÍNH PHỦ MỸ TIẾN HÀNH Ở VIỆT NAM	VIVOSDEV01_R108	VIVOSDEV01_R092
TỈNH QUẢNG TRỊ ĐÃ PHÊ DUYỆT	VIVOSDEV01_R043	VIVOSDEV01_R098
NHƯNG TÔI THÍCH XEM BỘ PHIM TRUYỆN PHÁT NGAY SAU CHƯƠNG TRÌNH NÀY	VIVOSDEV01_R164	VIVOSDEV01_R099
XUÂN NÀY EM KHÔNG VỀ	VIVOSDEV01_R003	VIVOSDEV01_T030
CHẮC SẮP TỚI THU XẾP ĐI DU LỊCH THÔI	VIVOSDEV01_R099	VIVOSDEV01_T038
NÓ TRỐN MẤT TIÊU RỒI CÒN ĐÂU	VIVOSDEV01_R071	VIVOSDEV01_T043
THẰNG ĐÓ CÓ CÁI MIỆNG NHƯ ĐÀN BÀ	VIVOSDEV01_R028	VIVOSDEV01_T048
CON NHỎ MỞ CÁI TÚI GÚT ĐEO TRÊN CỔ	VIVOSDEV04_R127	VIVOSDEV04_R010
CŨNG CHẲNG CÒN XÚNG XÍNH QUẦN ÁO MỚI	VIVOSDEV04_T032	VIVOSDEV04_R114
TRẺ EM ĐÂU CÓ CHƯỚNG NGẠI VẬT	VIVOSDEV04_R056	VIVOSDEV04_R118
TÔI KHÔNG NỠ LÀM CÔ BÉ THẤT VỌNG	VIVOSDEV04_R129	VIVOSDEV04_R126
RẤT NHIỀU GỬI GẮM VÀ KỲ VỌNG VÀO ÔNG	VIVOSDEV04_R149	VIVOSDEV04_R127
ĐANG THẢO LUẬN VỀ ĐỀ XUẤT	VIVOSDEV04_R023	VIVOSDEV04_R129
CHỦ TỊCH NƯỚC ĐÃ ĐẾN KIỂM TRA TIẾN ĐỘ THI CÔNG	VIVOSDEV04_R004	VIVOSDEV04_R132
NGHĨA LÀ KÉM CỎI NAM TÍNH HAY SAO	VIVOSDEV04_R010	VIVOSDEV04_R013
MỘT CÔ GÁI VÁY NGẮN CŨN CỠN CHẠY LÊN HỎI	VIVOSDEV04_R189	VIVOSDEV04_R149
SẼ KHÔNG KHIẾN BẠN TRÔNG GẦY NHƯ NHỮNG TRANG PHỤC MỘT MÀU	VIVOSDEV04_R162	VIVOSDEV04_R152
CÔ CHỈ MỚI VÀO LƯỚI NHẶT BÓNG HAI LẦN	VIVOSDEV04_R063	VIVOSDEV04_R162
HOẶC CHỈ BIỂU HIỆN BẰNG CÁC RỐI LOẠN CO BÓP	VIVOSDEV04_R092	VIVOSDEV04_R182
NHẰM TẠO RA SỰ HẤP DẪN	VIVOSDEV04_R047	VIVOSDEV04_R186
THỨ ÂM THANH KHÔNG CHỈ CẢM NHẬN BẰNG THÍNH GIÁC	VIVOSDEV04_R127	VIVOSDEV04_R187
TỪ NỖI CÔ ĐƠN CỦA MỘT CÔ BÉ BỊ CHA MẸ BỎ QUÊN	VIVOSDEV04_R132	VIVOSDEV04_R189
CHÍNH BÀ CŨNG LÀ NGƯỜI NUNG NẤU NIỀM ĐAM MÊ DIỄN XUẤT CỦA CÔ CON GÁI	VIVOSDEV04_R081	VIVOSDEV04_R023
ĐÓ CŨNG LÀ ĐỘNG LỰC THÚC ĐẨY TÔI	VIVOSDEV04_T009	VIVOSDEV04_R002
NHÓM SINH VIÊN TẠI TRƯỜNG CÙNG HỌP MẶT ĂN TẾT CHUNG	VIVOSDEV04_R097	VIVOSDEV04_R047
ĐÔI KHI BẠN CŨNG CÓ THỂ LÀM NHỮNG ĐIỀU ĐÓ	VIVOSDEV04_R081	VIVOSDEV04_R004
GÍ HÒN THAN VÀO RƠM	VIVOSDEV04_T018	VIVOSDEV04_R056
CHÁU SỐT NÊN RẸO RỌC SUỐT ĐÊM	VIVOSDEV04_R149	VIVOSDEV04_R063
VÀ TÔI THẤY HOA VẠN THỌ VÀNG ƯƠM	VIVOSDEV04_R186	VIVOSDEV04_R081
TAY KIA XÁCH MỘT TAY GIÓNG MANG CHIẾC VỊM LỚN	VIVOSDEV04_R008	VIVOSDEV04_R086
NGỦ TRÊN NỆM KHÔNG PHÙ HỢP	VIVOSDEV04_T044	VIVOSDEV04_R089
NHỮNG NGÀY ĐẦU VẮNG BÓNG BA VIỆT CỨ THỪ NGƯỜI NGHĨ NGỢI	VIVOSDEV04_T015	VIVOSDEV04_R008
BỊ CÁC CÔ GÁI BAO VÂY RÁO RIẾT	VIVOSDEV04_T044	VIVOSDEV04_R092
TRƠ TRỌI GIỮA ĐỒNG CÁI NHÌN KHẮC KHOẢI	VIVOSDEV04_R023	VIVOSDEV04_R095
NGOÀI VIỆC PHÁT HIỆN KẺ THÙ	VIVOSDEV04_R114	VIVOSDEV04_R097
MỘT LÀ GẶP LẠI TẤT CẢ CÁC EM PHÒ	VIVOSDEV04_R162	VIVOSDEV04_T015
NHỮNG SAI LẦM KHI ĐI CHỌN KHÁCH SẠN	VIVOSDEV04_R132	VIVOSDEV04_T018
ANH ĐI CÔNG TÁC CẦN THƠ TUẦN SAU MỚI VỀ	VIVOSDEV04_R089	VIVOSDEV04_T029
CÓ TRẢ TIỀN CHO BỐ KHÔNG THÌ BẢO	VIVOSDEV04_T044	VIVOSDEV04_T002
CAM SÀNH LỘT VỎ CÒN CHUA	VIVOSDEV04_R047	VIVOSDEV04_T032
ANH KHEN EM ĐẸP EM CHÊ ANH GIÀ	VIVOSDEV04_T015	VIVOSDEV04_T035
NHẬN ĐƯỢC TIN NÀY GỌI LẠI CHO TÔI GẤP	VIVOSDEV04_R186	VIVOSDEV04_T003
BA NÀY CHỈ GIỎI BỐC PHÉT	VIVOSDEV04_R126	VIVOSDEV04_T044
CHO TÔI NHẮN ĐẠI TIN NÀO CŨNG ĐƯỢC	VIVOSDEV04_R132	VIVOSDEV04_T009
HÃY TƯỞNG TƯỢNG RẰNG BẠN LÀ LÀ GIÁM ĐỐC DỰ ÁN TRONG MỘT CÔNG TY LỚN	VIVOSDEV05_199	VIVOSDEV05_004
CỦA NHỮNG THẾ LỰC HÙNG MẠNH	VIVOSDEV05_065	VIVOSDEV05_030
NGUYÊN THỨ TRƯỞNG MAI VĂN DÂU ĐÃ BỊ BẮT	VIVOSDEV05_097	VIVOSDEV05_043
NHƯNG MỨC ÁN TỬ HÌNH ĐỐI VỚI CÁC BỊ CÁO LÀ TƯƠNG XỨNG	VIVOSDEV05_295	VIVOSDEV05_055
NHỮNG NGƯỜI SỐNG THÌ THA THẨN TRONG NHÀ NGOÀI NGÕ	VIVOSDEV05_119	VIVOSDEV05_065
CẢ KHÔNG GIAN NHUỐM MÀU TRO BẾP	VIVOSDEV05_119	VIVOSDEV05_087
THU CHẠM NGÕ RẤT HIỀN	VIVOSDEV05_200	VIVOSDEV05_097
TRÔNG MỘT CÔ NÀNG ĐỔ NGƯỜI LÊN LƯNG ANH NGƯỜI YÊU GẦY CÒM	VIVOSDEV05_043	VIVOSDEV05_107
DOANH NGHIỆP TUYỂN DỤNG LAO ĐỘNG NƯỚC NGOÀI	VIVOSDEV05_129	VIVOSDEV05_109
THỜI HẠN SỬ DỤNG VÀ LOẠI SẢN PHẨM BỘT	VIVOSDEV05_055	VIVOSDEV05_115
MÀ CÒN BỊ NHỮNG BỘ MẶT LẠNH TE KIA HOẠNH HỌE	VIVOSDEV05_199	VIVOSDEV05_119
NHƯNG MÙI HÔI VẪN XỘC VÀO TẬN ÓC	VIVOSDEV05_286	VIVOSDEV05_120
ĐANG LÀM VIỆC KHÔNG NGỪNG NGHỈ	VIVOSDEV05_249	VIVOSDEV05_125
THU HÚT RẤT LÀ NHIỀU LOÀI CHIM	VIVOSDEV05_136	VIVOSDEV05_129
KHI CÔ THỂ HIỆN KHÔNG MẤY THÀNH CÔNG Ở LỄ KHAI MẠC	VIVOSDEV05_136	VIVOSDEV05_135
RA HIỆU CHO TÔI IM LẶNG	VIVOSDEV05_202	VIVOSDEV05_136
NHỎ ĐƯA TAY RA CÀO HẾT BÙN KHÔ TRÊN CỔ TỚ	VIVOSDEV05_251	VIVOSDEV05_143
NGỒI CHỒM CHỒM CÁCH CHỈ MẤY MÉT	VIVOSDEV05_286	VIVOSDEV05_150
NỬA VÒNG TRÁI ĐẤT HƠN BẢY NĂM	VIVOSDEV05_004	VIVOSDEV05_155
CHẬM NẮM BẮT XU HƯỚNG PHÁT TRIỂN CÔNG NGHỆ MỚI	VIVOSDEV05_135	VIVOSDEV05_170
MÀ MƯỜNG TƯỢNG RA HÌNH BÓNG MẸ	VIVOSDEV05_129	VIVOSDEV05_185
MỖI NGƯỜI MỘT SỐ PHẬN EM À	VIVOSDEV05_004	VIVOSDEV05_189
LẦN LỮA MÃI MỚI GẶP ĐƯỢC TUYÊN	VIVOSDEV05_155	VIVOSDEV05_199
LÀM ĐƯỜNG DÂY ĐỂ NỐI CÁC MẢNH ĐỜI	VIVOSDEV05_125	VIVOSDEV05_200
CHỊ HAI CHỦ QUÁN NGHE BÀN TÁN RÔM RẢ CŨNG RA GÓP CHUYỆN	VIVOSDEV05_185	VIVOSDEV05_202
TỨC KHẮC ẬP VỀ KÉO MỌI NGƯỜI THỨ TRỞ LẠI THỜI HOANG SƠ	VIVOSDEV05_251	VIVOSDEV05_206
TÊN GỌI TẠI ĐỊA PHƯƠNG LÀ TRẮC THỐI	VIVOSDEV05_065	VIVOSDEV05_209
BỐN CHIẾC TRỐNG ĐẠI PHÈNG LA	VIVOSDEV05_109	VIVOSDEV05_212
MỘT CÚ NGOẶT KHÔNG CHÍNH XÁC	VIVOSDEV05_263	VIVOSDEV05_226
MỚI ĐÂY NHẤT LÀ CÁC TIỂU VƯƠNG QUỐC Ả RẬP THỐNG NHẤT	VIVOSDEV05_043	VIVOSDEV05_231
CỘNG ĐỒNG NGƯỜI MÊ TOÁN HỌC TRÊN TOÀN THẾ GIỚI	VIVOSDEV05_125	VIVOSDEV05_238
TÔI NGHĨ THỦ TƯỚNG SẼ KHÔNG NÉ TRÁNH BẤT CỨ CÂU HỎI NÀO	VIVOSDEV05_202	VIVOSDEV05_249
BỌN BUÔN LẬU MA TÚY VÀ VŨ KHÍ	VIVOSDEV05_295	VIVOSDEV05_251
LẠI QUAY RA TẬP VIẾT BÁO RỒI GỬI VU VƠ	VIVOSDEV05_030	VIVOSDEV05_261
NGHE TIẾNG XÌNH XỊCH XA XA THÌ ĐOÁN TRÚNG PHÓC LÀ HÚT HẦM CẦU	VIVOSDEV05_043	VIVOSDEV05_263
THẾ NHƯNG KHI GIÁ PHÔI THÉP THẾ GIỚI CAO DẦN	VIVOSDEV05_189	VIVOSDEV05_286
LÀM HỎNG CÁC THIẾT BỊ CỦA TÊN LỬA	VIVOSDEV05_030	VIVOSDEV05_295
ĐƠN GIẢN LÀ TÁN GẪU VỚI NHAU	VIVOSDEV06_006	VIVOSDEV06_001
MÀ DO LỐI SỐNG CHUI NHỦI CỦA CHÚNG	VIVOSDEV06_157	VIVOSDEV06_006
RÂU RIA ĐÃ BA NGÀY KHÔNG CẠO	VIVOSDEV06_042	VIVOSDEV06_016
MỘT ĐƯỜNG HƯỚNG CHUYÊN NGHIỆP	VIVOSDEV06_061	VIVOSDEV06_021
LÍNH CỨU HỎA KHÓ TIẾP CẬN HIỆN TRƯỜNG	VIVOSDEV06_126	VIVOSDEV06_022
NHỮNG NGƯỜI TRÊN GHE CỦA CÔNG AN ĐÃ NHẮM THẲNG VÀO GHE ANH CHỦ	VIVOSDEV06_006	VIVOSDEV06_034
ĐỪNG BUỒN VÌ TỰ GIẰN VẶT MÌNH NỮA	VIVOSDEV06_272	VIVOSDEV06_037
VÀ HÍT VÀO MŨI LÀM CHẤT NÀY LOÃNG RA	VIVOSDEV06_021	VIVOSDEV06_040
ĐANG HẤP DẪN CÁC TẬP ĐOÀN PHÂN PHỐI ĐA QUỐC GIA	VIVOSDEV06_248	VIVOSDEV06_042
DÙ LÀ ĐẬU SỨC MẠNH HOẶC CẢI BÔNG KHỦNG LONG	VIVOSDEV06_016	VIVOSDEV06_054
VÌ NÓ KHÔNG NHẮC ĐẾN NHỮNG CUỘC TẤN CÔNG NHẮM VÀO NGƯỜI DO THÁI	VIVOSDEV06_157	VIVOSDEV06_061
RỒI KHỀ KHÀ ĐÔI CÂU VỌNG CỔ VỚI CHÂN CHUỘT	VIVOSDEV06_098	VIVOSDEV06_070
Ở LỚP NẤU ĂN GIA ĐÌNH	VIVOSDEV06_241	VIVOSDEV06_078
MÀ BẠN CÓ THỂ THAM KHẢO ĐỂ LÀM ĐẸP GIAN BẾP	VIVOSDEV06_117	VIVOSDEV06_079
CÁI VỊ CHÁT CHÁT VÀ ĐẮNG NGẮT CỦA CÀ PHÊ NGUYÊN CHẤT	VIVOSDEV06_042	VIVOSDEV06_098
CÁC EM NHỎ SẼ KHÔNG CÒN PHẢI ĐI TRÊN NHỮNG CHUYẾN ĐÒ NGUY HIỂM	VIVOSDEV06_285	VIVOSDEV06_103
LÀM CÔ NÀNG RỌ RẠY THỨC TRẮNG CẢ ĐÊM	VIVOSDEV06_212	VIVOSDEV06_108
GIẢI QUYẾT KHỐI UNG NHỌT NÀY PHẢI CẦN ĐẾN MỘT CUỘC ĐẠI PHẪU NGHIÊM TÚC	VIVOSDEV06_222	VIVOSDEV06_117
