script	ref	ground
KHI LÀM MỚI CHỦ YẾU LÀ TRÁNG NHỰA CHỨ KHÔNG MỞ RỘNG	VIVOSSPK01_R027	VIVOSSPK01_R076
TÌM CÁCH LẬT MẶT KẺ CẬY QUYỀN GIỮA CHỐN CÔNG ĐƯỜNG	VIVOSSPK01_R094	VIVOSSPK01_R077
UY TÍN CỦA MỘT PHÓNG VIÊN	VIVOSSPK01_R128	VIVOSSPK01_R079
MỘT LÒ GẠCH CHÔNG CHÊNH TRÊN SƯỜN ĐỒI 	VIVOSSPK01_R072	VIVOSSPK01_R080
GIỮA QUẠNH HIU LÁ CỎ	VIVOSSPK01_R016	VIVOSSPK01_R081
BEN THẤY HỮU THẬT BUỒN CƯỜI	VIVOSSPK01_R093	VIVOSSPK01_R082
CHÚNG TA LÀM CHO MỌI THỨ RỐI TUNG LÊN 	VIVOSSPK01_T001	VIVOSSPK01_R083
HẾT LẦN NÀY ĐẾN LẦN KHÁC	VIVOSSPK01_T035	VIVOSSPK01_R084
LÊ THỊ HỒNG NGỌC CHỦ QUÁN CƠM NIÊU TRÊN ĐƯỜNG TÚ XƯƠNG	VIVOSSPK01_R185	VIVOSSPK01_R085
VỤ VIỆC CHỈ KẾT THÚC SAU CUỘC ĐỘT KÍCH	VIVOSSPK01_T026	VIVOSSPK01_R086
BẰNG MỌT CÚ SÚT XA ĐẸP MẮT	VIVOSSPK01_R034	VIVOSSPK01_R087
NÓI CÂU GÌ CŨNG PHẢI CÓ ĐẦU CÓ ĐUÔI 	VIVOSSPK01_R192	VIVOSSPK01_R088
CHỚ KHÔNG ĐƯỢC NÓI NHĂNG NHÍT	VIVOSSPK01_R066	VIVOSSPK01_R089
KHÔNG ĐƯỢC LẤY QUE CỜI GÕ GÕ LÊN TẤM LƯNG CÒNG CỦA CÁC NGÀI	VIVOSSPK01_R007	VIVOSSPK01_R090
LUÔN SĂN ĐẦU KHÁCH VỚI NHỮNG LỜI NŨNG NỊU ĐẾN MỀM LÒNG	VIVOSSPK01_R072	VIVOSSPK01_R091
LÀM THỔI TUNG CẢ MỘT ĐỘI QUÂN CỦA KẺ THÙ	VIVOSSPK01_R050	VIVOSSPK01_R092
CẢM THẤY XÚC ĐỘNG TRƯỚC MỘT ĐIỀU GÌ ĐÓ	VIVOSSPK01_R130	VIVOSSPK01_R093
LÀM DÃY NHÀ CHO THUÊ CỦA MỘT HỘ DÂN PHẢI BỎ TRỐNG	VIVOSSPK01_R121	VIVOSSPK01_R094
TIÊU HỦY TẤT CẢ CÁC BẦY ĐÀN	VIVOSSPK01_R164	VIVOSSPK01_R095
MÀ NHÀ CỬA VÀ CÔNG VIỆC CHẲNG ĐÂU VÀO ĐÂU	VIVOSSPK01_R075	VIVOSSPK01_R096
BÀ CON TRONG XÓM ĐẾN DỰ RÌNH RANG	VIVOSSPK01_R045	VIVOSSPK01_R097
CHỈ CHĂM CHẮM VÀO NHỮNG ĐỐI TƯỢNG CAO CẤP	VIVOSSPK01_R096	VIVOSSPK01_R098
LÙNG SỤC MUA HEO BỆNH CHỞ ĐI GIẾT MỔ	VIVOSSPK01_R161	VIVOSSPK01_R099
CHÚNG XẨY NHÀ RA BỤI ĐỜI ĐI GIẬT DỌC ĐÂM CHÉM QUẬY PHÁ	VIVOSSPK01_R104	VIVOSSPK01_R100
HIỆN CÔNG AN PHƯỜNG CỐC LẾU ĐANG HOÀN CHỈNH HỒ SƠ	VIVOSSPK01_T040	VIVOSSPK01_R103
MÀ LỢN CÓ KHI CHI PHÍ NUÔI KHÔNG ĐỦ HUỀ VỐN	VIVOSSPK01_R140	VIVOSSPK01_R104
CÓ KHI ANH ẤY NÓI NĂNG LỖ MÃNG VÀ ĐÁNH EM NỮA	VIVOSSPK01_R121	VIVOSSPK01_R105
NHƯ THÍCH ĐI CHẦM CHẬM TRÊN NHỮNG CON ĐƯỜNG QUÊ	VIVOSSPK01_R028	VIVOSSPK01_R106
CHO VIỆC PHÁT TRIỂN SỰ NGHIỆP CỦA HỌ TẠI VIỆT NAM	VIVOSSPK01_R019	VIVOSSPK01_R107
THỬ ĐỊA KHÔNG DƯ HOÀNG HẠC LÂU	VIVOSSPK01_R147	VIVOSSPK01_R108
MỆ NÓI MUỐN NẤU ĂN NGON PHẢI GỬI GẮM TÂM TRẠNG MÌNH VÀO TRONG ĐÓ	VIVOSSPK01_T038	VIVOSSPK01_R109
HIẾM KHI LẶP LẠI NHỮNG CÂU ĐÃ NÓI	VIVOSSPK01_T036	VIVOSSPK01_R110
TÔI SẼ KHÔNG CỐ GẮNG ĐỂ BÁN CHÚNG HAY TRƯNG BÀY CHÚNG NỮA	VIVOSSPK01_T045	VIVOSSPK01_R111
LỜI KHUYÊN HỮU ÍCH DÀNH CHO BẠN	VIVOSSPK01_R027	VIVOSSPK01_R112
MÀ NHỮNG MÁI HIÊN NÀY CÒN CÓ ĐƯỢC SỰ RIÊNG TƯ CẦN THIẾT	VIVOSSPK01_R027	VIVOSSPK01_R113
MINH ĐẾN PHÒNG TẬP THỂ HÌNH CỦA TRƯỜNG ĐỂ NÂNG TẠ	VIVOSSPK01_R024	VIVOSSPK01_R114
TẾT NĂM NGOÁI CẢ NHÀ CHÍN MIỆNG ĂN	VIVOSSPK01_R143	VIVOSSPK01_R115
CHỨ KHÔNG PHẢI LÀ TỪ CÁC YÊU CẦU RIÊNG LẺ	VIVOSSPK01_R021	VIVOSSPK01_R117
CÔNG NGHỆ NÀY SỬ DỤNG NGUYÊN LIỆU ĐẬU NÀNH	VIVOSSPK01_R119	VIVOSSPK01_R118
KHI TÊN LỬA BAY LÊN	VIVOSSPK01_R019	VIVOSSPK01_R119
HẬU QUẢ CỦA NHỮNG TRẬN SÊN HÚT MÁU	VIVOSSPK01_R007	VIVOSSPK01_R120
NẰM ẨN MÌNH TRONG VƯỜN CÂY PHÍA SAU DÃY PHỐ ỒN ÀO	VIVOSSPK01_T035	VIVOSSPK01_R121
PHẦN NÀO MANG TÍNH ĐIỀU HÒA THỊ TRƯỜNG	VIVOSSPK01_T024	VIVOSSPK01_R122
TỤI CON CÒN DỄ NHỚ HƠN PHIÊN ÂM RA LOẰNG NGOẰNG QUÁ	VIVOSSPK01_R112	VIVOSSPK01_R123
MANG TÍNH CƠ HỘI TRONG THỊ HIẾU PHÁP	VIVOSSPK01_T001	VIVOSSPK01_R124
NHỮNG TRÀNG VỖ TAY VANG DỘI NHƯ THỜI HÁT NHÓM	VIVOSSPK01_R108	VIVOSSPK01_R125
CHỈ HOÀN THÀNH NHÕN BA CÂY SỐ KHÚC GIỮA	VIVOSSPK01_R069	VIVOSSPK01_R126
BAN TÀI CHÍNH QUẢN TRỊ TRUNG ƯƠNG THUỘC VĂN PHÒNG TRUNG ƯƠNG ĐẢNG	VIVOSSPK01_R173	VIVOSSPK01_R127
VÌ CHỈ CÓ MẸ LÀ NGƯỜI DANG RỘNG VÒNG TAY	VIVOSSPK01_R023	VIVOSSPK01_R128
ĐƯỜNG VÀO HANG PHẢI QUA NHIỀU ĐOẠN NGOẰN NGOÈO VỚI CÁC HỒ NƯỚC SÂU	VIVOSSPK01_R113	VIVOSSPK01_R129
GIÚP HÃNG TĂNG THỊ PHẦN	VIVOSSPK01_R086	VIVOSSPK01_R130
HỪNG HỰC ĐẾN TẬN NỬA ĐÊM	VIVOSSPK01_T022	VIVOSSPK01_R131
SAU ĐÓ VẼ THÊM CÁC NÉT PHÁC HỌA MÀU ĐEN VÀO LÚC KHÁC	VIVOSSPK01_R186	VIVOSSPK01_R132
ĐỀU QUAY CUỒNG ĐƠN GIẢN LÀ DO BẠN ĐÃ QUÁ CHÉN	VIVOSSPK01_R180	VIVOSSPK01_R134
VÀ SẮP XẾP THEO ĐÚNG BỐI CẢNH PHIM	VIVOSSPK01_R088	VIVOSSPK01_R135
VÀ ĐÃ ĐƠN PHƯƠNG YÊU TỪ MỘT PHÍA NHƯ VẬY	VIVOSSPK01_R129	VIVOSSPK01_R136
MỖI TUẦN TÔI LẠI CÓ MỘT CHUYẾN RỜ TUA TRÀ VINH SÀI GÒN	VIVOSSPK01_T049	VIVOSSPK01_R137
BÊN DƯỚI MỘT HÀNG CHỮ MẢNH	VIVOSSPK01_R131	VIVOSSPK01_R138
TRONG TÔI PHẢI TỰ RĂN MÌNH ĐỪNG BAO GIỜ TỰ HUYỄN	VIVOSSPK01_R039	VIVOSSPK01_R139
MÀ SẼ CÓ CÁCH RA ĐỀ PHÙ HỢP	VIVOSSPK01_R104	VIVOSSPK01_R140
HÀ ANH TUẤN MỘT NGÔI SAO ĐIỂM HẸN MỚI TOANH CŨNG THỪA NHẬN MÙ NHẠC	VIVOSSPK01_R066	VIVOSSPK01_R141
CÓ THÊM NIỀM VUI MỚI LÀ RA TẮM GIỮA CÁC HŨM NƯỚC CẠN	VIVOSSPK01_R022	VIVOSSPK01_R142
MANG HÌNH DÁNG CỦA MỘT CON KHỈ	VIVOSSPK01_T007	VIVOSSPK01_R143
NGAY CẢ TRƯỚC KHI NÓ ĐƯỢC CHÍNH THỨC CÔNG BỐ	VIVOSSPK01_R111	VIVOSSPK01_R145
ANH LÝ CHẠY XE ÔM	VIVOSSPK01_R070	VIVOSSPK01_R146
VIỆC ĐẦU TIÊN TÔI NGHĨ ĐẾN	VIVOSSPK01_T008	VIVOSSPK01_R147
NẤU NGUỘI NGẬM GỚM CÁI MÓN THỊT GÀ CỨ DAI NGOÁCH CẢ RA	VIVOSSPK01_R169	VIVOSSPK01_R148
Ờ THẰNG ĐÓ CHÁU NỘI TƯ XẠO	VIVOSSPK01_R049	VIVOSSPK01_R149
TRONG SUỐT THẾ KỶ QUA	VIVOSSPK01_R181	VIVOSSPK01_R150
HAY THÂM TÍM CHẬM LÀNH	VIVOSSPK01_R090	VIVOSSPK01_R151
THƯỜNG CUNG CẤP NHỮNG MANH MỐI	VIVOSSPK01_R120	VIVOSSPK01_R152
NHƯNG VẪN KHÔNG SÁNH BẰNG NỖI ĐAU CỦA MỘT CON NGƯỜI BỊ CHÀ ĐẠP	VIVOSSPK01_R021	VIVOSSPK01_R153
CHO SƠN CHẢY THẲNG LÊN GIẤY	VIVOSSPK01_T044	VIVOSSPK01_R154
NGÀY THƯỜNG MẮT TRƯỚC MẮT SAU GỒNG GÁNH CHẠY PHẠT	VIVOSSPK01_R200	VIVOSSPK01_R155
CỨ ĐẶT CON DAO DÍNH TIẾT TRÊN CÁI DĨA	VIVOSSPK01_R090	VIVOSSPK01_R156
MÀ LÒNG CỨ PHÂN VÂN VỀ LẼ ĐIÊN TỈNH Ở ĐỜI	VIVOSSPK01_T034	VIVOSSPK01_R157
TRÊN ĐƯỜNG ĐI THỈNH THOẢNG XE PHẢI DỪNG LẠI	VIVOSSPK01_T045	VIVOSSPK01_R158
TÍA CON HAI RỚT CHUẨN BỊ CHÂM LỬA NGỌN BÙI NHÙI	VIVOSSPK01_R056	VIVOSSPK01_R159
BỞI ĐÓ LÀ MỘT TRONG NHỮNG ĐIỀU RĂN CHUNG	VIVOSSPK01_R150	VIVOSSPK01_R160
NGƯỜI TA KỊP KÉO CHỊ TA LẠI	VIVOSSPK01_R150	VIVOSSPK01_R161
CÓ THỂ KÍCH THÍCH SỰ PHÁT TRIỂN CỦA CÁC TẾ BÀO NÃO	VIVOSSPK01_R146	VIVOSSPK01_R162
CÓ THỂ GÂY RA NHỮNG VẾT ĐỎ	VIVOSSPK01_R068	VIVOSSPK01_R164
VIỆC XEM XÉT PHẢI DO HỘI ĐỒNG CÁC CHUYÊN GIA	VIVOSSPK01_R048	VIVOSSPK01_R165
CHIẾN DỊCH CUỐI CÙNG TRONG NỖ LỰC CHỐNG NẠN ĂN CẮP BẢN QUYỀN	VIVOSSPK01_R035	VIVOSSPK01_R166
SÔNG HẬU MỚI BẮT ĐẦU CHUYỂN MÀU ĐỎ QUẠCH CỐ HỮU CỦA PHÙ SA	VIVOSSPK01_R177	VIVOSSPK01_R167
ĐA SỐ BÁN CHUI VÀ QUẢNG CÁO NHƯ THẦN DƯỢC	VIVOSSPK01_R156	VIVOSSPK01_R168
NGHỆ SĨ HÀI MAI THANH DUNG VÀ MINH VƯỢNG	VIVOSSPK01_R081	VIVOSSPK01_R169
TỐT HƠN LÀ NGAY TỪ ĐẦU BẠN HÃY ĐẶT RA NHỮNG CÂU HỎI	VIVOSSPK01_R152	VIVOSSPK01_R170
KHI CÁC NHÀ KHOA HỌC HÀN QUỐC PHÁT HIỆN	VIVOSSPK01_R082	VIVOSSPK01_R171
CÂU CHUYỆN VỀ ANH SINH VIÊN TÌNH NGUYỆN BỊ TAI NẠN	VIVOSSPK01_T015	VIVOSSPK01_R172
ĐO SÂU NHƯ THẾ THÌ NGUY HIỂM LẮM	VIVOSSPK01_R038	VIVOSSPK01_R173
VÀ DÙNG DÂY THẮT LƯNG SIẾT CỔ ANH NHIỆM CHO ĐẾN NGẤT XỈU	VIVOSSPK01_R123	VIVOSSPK01_R174
BÀ CON THƯỜNG XUYÊN ĐAU ỐM	VIVOSSPK01_T032	VIVOSSPK01_R175
HỌ CHÀO NHAU CƯỜI NÓI HÔ HỐ RỒI NHAY LÊN XE MÁY PHÓNG ĐI	VIVOSSPK01_R196	VIVOSSPK01_R176
CỦA DÌ CỦA MẸ VÀ MẤY EM	VIVOSSPK01_R068	VIVOSSPK01_R177
VÀ NGĂN NGỪA CÁC BIẾN CHỨNG	VIVOSSPK01_R055	VIVOSSPK01_R179
NHƯNG PHẦN BIỂU DƯƠNG LỰC LƯỢNG ĐÃ GÂY ẤN TƯỢNG MẠNH	VIVOSSPK01_R194	VIVOSSPK01_R180
CHÚNG CAM KẾT SẼ THẢ CÁC CON TIN	VIVOSSPK01_R192	VIVOSSPK01_R181
LÀ TRÁCH NHIỆM KIỂM TRA CỦA QUẢN LÝ THỊ TRƯỜNG	VIVOSSPK01_R169	VIVOSSPK01_R182
ĐỂ NÂNG CAO CHẤT LƯỢNG SẢN PHẨM	VIVOSSPK01_R159	VIVOSSPK01_R183
KHÚC HÁT CHIẾN SĨ BIÊN PHÒNG THÀNH PHỐ	VIVOSSPK01_R182	VIVOSSPK01_R184
VỚI CÁC PHA DỨT ĐIỂM GỌN GHẼ	VIVOSSPK01_T005	VIVOSSPK01_R185
NẾU KHÔNG BIẾT ĐƯỢC NHỮNG ĐIỀU NÀY	VIVOSSPK01_R120	VIVOSSPK01_R186
CÁC EM THẬM CHÍ CÓ THỂ TRỞ THÀNH NHỮNG NHÀ LẬP TRÌNH VI TÍNH	VIVOSSPK01_R081	VIVOSSPK01_R187
NGƯỜI TA CŨNG THẤY DẤU CHÂN CÀ THỌT CỦA ÔNG	VIVOSSPK01_T015	VIVOSSPK01_R188
Ở ĐÓ CÓ KHOA KHÁM CHUYÊN VỀ LÉ CHO TRẺ EM	VIVOSSPK01_R075	VIVOSSPK01_R189
SÁNG SÁNG TRONG TIẾNG CHIM TRAO TRẢO RÂM RAN ĐÂY ĐÓ	VIVOSSPK01_R011	VIVOSSPK01_R190
NHƯNG NÓ KHÔNG CÒN LÀ MÁI ẤM CỦA BẠN NỮA	VIVOSSPK01_R056	VIVOSSPK01_R192
CUNG THIẾU CẦU TĂNG LẰNG NHẰNG CHUYÊN NGHIỆP	VIVOSSPK01_R142	VIVOSSPK01_R193
TỔ CHỨC HOẠT ĐỘNG NÀY NHẰM CÓ KẾ HOẠCH DÀI HẠN	VIVOSSPK01_R069	VIVOSSPK01_R194
TÚI CHẤT ĐẦY ĐỒ VẬT TRÔNG KỆNH LÊN	VIVOSSPK01_R069	VIVOSSPK01_R195
CÔNG CHÚNG ĐÃ QUÁ LỜN MẮT	VIVOSSPK01_R142	VIVOSSPK01_R196
NỖI THẤT VỌNG VỠ ÒA TRONG TÂM HỒN CỦA CẬU BÉ MÙ LÒA	VIVOSSPK01_R083	VIVOSSPK01_R197
GIẢNH CHỈ CẤY TỐI ĐA HAI GIẢNH	VIVOSSPK01_R111	VIVOSSPK01_R198
LÀM MẤT ĐI BẢN CHẤT TỰ NHIÊN CỦA CUỘC SỐNG	VIVOSSPK01_T025	VIVOSSPK01_R200
LÀ CHỊ ĐÂY SAO EM KHÔNG BẮT MÁY	VIVOSSPK01_T013	VIVOSSPK01_T001
CÓ TRẢ TIỀN CHO BỐ KHÔNG THÌ BẢO	VIVOSSPK01_R184	VIVOSSPK01_T002
NHẬN ĐƯỢC TIN NÀY GỌI LẠI CHO TÔI GẤP	VIVOSSPK01_R105	VIVOSSPK01_T003
ANH ĐANG NẰM MƠ À	VIVOSSPK01_R162	VIVOSSPK01_T004
CÁI TỔNG ĐÀI NÀY HAY PHẾT NHỈ	VIVOSSPK01_R129	VIVOSSPK01_T005
TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN THÀNH PHỐ HỒ CHÍ MINH	VIVOSSPK01_T045	VIVOSSPK01_T007
MỘT ĐỒNG CHÍ ĐÃ QUA ĐỜI VÌ BỆNH LẬU	VIVOSSPK01_R128	VIVOSSPK01_T008
CHO TÔI NHẮN ĐẠI TIN NÀO CŨNG ĐƯỢC	VIVOSSPK01_R184	VIVOSSPK01_T009
KẾT THÚC CHƯƠNG TRÌNH TUẦN NÀY ĐẾN ĐÂY LÀ HẾT	VIVOSSPK01_T027	VIVOSSPK01_T011
CHỈ CÒN CÓ BỐN NGÀY CUỐI CÙNG CỐ LÊN ANH NHÉ	VIVOSSPK01_R192	VIVOSSPK01_T012
LÀM SAO ĐỂ CÓ TIỀN NHANH NHẤT	VIVOSSPK01_R198	VIVOSSPK01_T013
TA CHỈ CÓ HAI NGUYỆN VỌNG CUỐI CÙNG	VIVOSSPK01_R175	VIVOSSPK01_T014
